role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Youtube Content Manager,Build Fast With AI,Actively hiring,Bangalore                                                            (Hybrid),1 Month," 7,500  +  Incentives","Content Writing, Editing, SEO"
Community Management,PassionMojo,Actively hiring,Work from home,6 Months,Unpaid,"Community Building, Communication, Public Relations"
Talent Acquisition,IIDE Education Private Limited,Actively hiring,Mumbai,6 Months,"7,500","Communication, Teamwork"
Social Media Marketing,Enseur,Actively hiring,Delhi,3 Months," 3,000-8,000 ","Marketing Strategy, Communication, Market Research"
Video Editing/Making,Aero Armour,Actively hiring,Kolkata,4 Months," 5,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Video Editing/Making,Internshala,Actively hiring,Gurgaon,6 Months,"18,000","Video Editing, Premiere Pro, After Effects"
Business Development (Real Estate),BREAM Solutions Pvt. Ltd.,Actively hiring,Bangalore,2 Months," 10,000  +  Incentives","Sales, Negotiation, Business Strategy"
Digital Marketing,SANVER INDIA PRIVATE LIMITED,Actively hiring,Mumbai,3 Months," 25,000-30,000 ","SEO, Google Ads, Social Media Marketing"
Graphic Design,IoTExpress Private Limited,Actively hiring,Bangalore                                                            (Hybrid),6 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Social Media Manager,International Council For Circular Economy,Actively hiring,Delhi                                                            (Hybrid),6 Months,Unpaid,"Social Media, Content Creation, Analytics"
Interior Design,Imperio Railing Systems,Actively hiring,Mumbai,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Operations,Probo,Actively hiring,"Delhi, Gurgaon",6 Months,"15,000","Operations Management, Coordination, MS Excel"
Content Development (Mathematics),Yellow Chapter - Entrepreneurial Journey,Actively hiring,Gurgaon                                                            (Hybrid),3 Months,"60,000","Content Writing, Editing, SEO"
Telecalling,Bonn Tonn,Actively hiring,Kolkata,3 Months,"7,000","Communication, Sales, Customer Handling"
Marketing,Bonn Tonn,Actively hiring,Kolkata,3 Months," 7,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Graphic Design,Sipani Properties (P) Limited,Actively hiring,Bangalore,2 Months," 10,000-25,000 ","Graphic Design, Photoshop, Illustrator"
Operations,Muskurahat Foundation,Actively hiring,Mumbai,3 Months,"10,000","Operations Management, Coordination, MS Excel"
Talent Acquisition,Catalyst Crew,Actively hiring,Mumbai,6 Months," 3,000  +  Incentives","Communication, Teamwork"
Talent Acquisition,Expertrons,Actively hiring,Mumbai                                                            (Hybrid),3 Months," 7,000-10,000 ","Communication, Teamwork"
Graphic Design,Relinns Technologies,Actively hiring,"Chandigarh, Delhi, Ludhiana, Mohali, Haryana, Punjab, Uttar Pradesh, Himachal Pradesh",6 Months,"8,000","Graphic Design, Photoshop, Illustrator"
Tally Accountant,Shashwat Singhal,Actively hiring,Prayagraj,6 Months," 10,000-12,000 ","Communication, Teamwork"
Client Servicing,Internshala,Actively hiring,Gurgaon,6 Months,"18,000","Communication, Teamwork"
Store Management Intern,Arcatron Mobility Private Limited,Actively hiring,Pune,6 Months,"20,000","Communication, Teamwork"
Hotel Management (Food & Beverage Production),Muan Food Tech Private Limited,Actively hiring,Chennai,6 Months,"12,000","Communication, Teamwork"
Sound Engineer - Composer,The Bangalore Studio The Nation's Pride,Actively hiring,Bangalore,3 Months,"10,000","Communication, Teamwork"
B2B SaaS Sales,Agaram Technologies Pvt Ltd,Actively hiring,Chennai,4 Months,"10,000","Sales, Negotiation, CRM"
Telecalling,Digital Factorys,Actively hiring,Pimpri-Chinchwad,6 Months,"7,000","Communication, Sales, Customer Handling"
Digital Marketing,Bonn Tonn,Actively hiring,Kolkata,3 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Sales And Marketing Associate,Pawzz,Actively hiring,Gurgaon                                                            (Hybrid),4 Months," 15,000-20,000 ","Sales, Negotiation, CRM"
Equity Analyst,SDSR Consultancy Services Private Limited,Actively hiring,Kolkata,1 Month," 10,000-15,000 ","Communication, Teamwork"
Human Resources (HR),Cynergi,Actively hiring,Mumbai,6 Months,"3,000","Recruitment, HR Management, Communication"
Graphic Design,Bonn Tonn,Actively hiring,Kolkata,3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Database Building/Management,Avaesa,Actively hiring,Chennai,2 Months,"10,000","Python, SQL, Data Analysis"
Retention Executive,Arcatron Mobility Private Limited,Actively hiring,Pune,3 Months,"20,000","Communication, Teamwork"
Market Research,ReportsInsights Consulting Pvt Ltd,Actively hiring,Pune,6 Months,"10,000","Research, Analysis, Report Writing"
Content Writing,Enseur,Actively hiring,Delhi,3 Months," 5,000-7,500 ","Content Writing, Editing, SEO"
Content Writing,Qriocity Ventures Private Limited,Actively hiring,"Chennai, Kattankulathur, Maraimalai Nagar, Chengalpattu, Tambaram Sanatorium",3 Months," 15,000-25,000 ","Content Writing, Editing, SEO"
Social Media Marketing,PK Online Ventures Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-8,000 ","Marketing Strategy, Communication, Market Research"
Photography,Aikyam Fellows,Actively hiring,Kochi,2 Months,"10,000","photography,lightroom,photoshop,image editing"
NEET Physics Online Tutor (Malayalam Speaking),Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,6 Months," 1,000-10,000 ","Communication, Teamwork"
Content Writing,VirtuBox Infotech Private Limited,Actively hiring,Noida,6 Months,"10,000","Content Writing, Editing, SEO"
Interior Design,"Bastion, House Of Design",Actively hiring,Gurgaon,6 Months," 5,000-7,000 ","Graphic Design, Photoshop, Illustrator"
Field Sales,Sports For All,Actively hiring,Hyderabad,3 Months," 15,000-20,000 ","Sales, Negotiation, CRM"
Video Editing/Making,SR Edu Technologies,Actively hiring,Hyderabad,1 Month," 5,000-8,000 ","Video Editing, Premiere Pro, After Effects"
Event Executive Specialist,Snapbot,Actively hiring,Hyderabad,2 Months," 10,000-15,000 ","Communication, Teamwork"
Management trainee,The Affordable Organic Store,Actively hiring,"Hyderabad, Kompally",6 Months,"12,000","Communication, Teamwork"
Subject Matter Expert (SME),Dimentics Info Tech Private Limited,Actively hiring,Noida,3 Months," 12,000-15,000 ","Communication, Teamwork"
Inside Sales,KRIYO,Actively hiring,Hyderabad,2 Months," 10,000  +  Incentives","Sales, Negotiation, CRM"
Client Relationship Manager,G&T-Star Production And Entertainment Private Limited,Actively hiring,Noida,3 Months," 7,000-12,000 ","Communication, Teamwork"
Graphics Designer,Budding Mariners,Actively hiring,Work from home,4 Months,"1,500","Graphic Design, Photoshop, Illustrator"
Social Media Marketing,Akrati Jewels Incorporation,Actively hiring,Jaipur,5 Months," 10,000-15,000 ","Marketing Strategy, Communication, Market Research"
Trainee - Talent Acquisition,BookMyShow,Actively hiring,Mumbai,6 Months,"7,500","Communication, Teamwork"
Operations,Grivaa Consultancy Services,Actively hiring,Delhi                                                            (Hybrid),2 Months," 5,000-10,000 ","Operations Management, Coordination, MS Excel"
Social Media Content Creator For Restaurants,Hotkhana.com,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"15,000","Social Media, Content Creation, Analytics"
Social Media Marketing,Certera Solutions LLP,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Noida",6 Months,"10,000","Marketing Strategy, Communication, Market Research"
Psychology,Starlit Ability Enhancement Services Private Limited,Actively hiring,"Pune, Thane, Navi Mumbai, Mumbai",6 Months," 6,000-10,000 ","Communication, Teamwork"
Video Editing/Making,ONE XL INFO LLP,Actively hiring,Pune,3 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Founder’s Office,Soul Jams,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"10,000","Communication, Teamwork"
Subject Matter Expert (Physical Chemistry),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 ","Communication, Teamwork"
Interior Design,Sipani Properties (P) Limited,Actively hiring,Bangalore                                                            (Hybrid),2 Months," 10,000-15,000 ","Graphic Design, Photoshop, Illustrator"
Finance - Valuation,Marcken Consulting LLP,Actively hiring,Ahmedabad,6 Months,"8,000","Excel, Financial Analysis, Accounting"
Equity Analyst,Grivaa Consultancy Services,Actively hiring,Delhi                                                            (Hybrid),2 Months," 5,000-10,000 ","Communication, Teamwork"
CA Articleship,V V J & Associates,Actively hiring,Mumbai,6 Months,"8,000","Communication, Teamwork"
Product Design,"Stealth Mode (Seattle, United States)",Actively hiring,Work from home,2 Months,"1,000","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),Kshitiksha Foundation,Actively hiring,Greater Noida,2 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Graphic Design,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Bangalore,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Content Writing,Collectcent Digital Media Private Limited,Actively hiring,Gurgaon,3 Months,"10,000","Content Writing, Editing, SEO"
Field Marketing,SmartCookie,Actively hiring,Pune,6 Months,"2,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Madrocket Technologies & Media,Actively hiring,"Bhilai, Bilaspur, Durg, Hyderabad, Raipur, Nagpur",4 Months,"10,000","Sales, Negotiation, Business Strategy"
Finance & Accounting,Guruji Astro,Actively hiring,Jaipur,6 Months," 8,000-10,000 ","Accounting, Tally, Excel"
Crypto Trading Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 12,000-20,000 ","Communication, Teamwork"
Graphic Design,Adstacks Media,Actively hiring,Gurgaon,3 Months,"12,000","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),Snapbot,Actively hiring,"Bangalore, Hyderabad, Jaipur",3 Months,"10,000","Sales, Negotiation, Business Strategy"
Community Management,KultureKatta,Actively hiring,Pune,3 Months,"3,000","Community Building, Communication, Public Relations"
3D Artist Intern,BOP Consultancy And Services,Actively hiring,Pune,4 Months," 5,000-8,000 ","Communication, Teamwork"
Social Media Marketing,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 ","Marketing Strategy, Communication, Market Research"
Graphic Design,PlanCover,Actively hiring,Gurgaon,6 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Content Writing,ONE XL INFO LLP,Actively hiring,Pune,3 Months,"5,000","Content Writing, Editing, SEO"
Content Writing,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 ","Content Writing, Editing, SEO"
Business Development (Sales),UrbanNaps,Actively hiring,Work from home,3 Months," 5,000-7,000 ","Sales, Negotiation, Business Strategy"
Operations,My Digital Shelf,Actively hiring,"Indore, Mumbai",6 Months,"15,000","Operations Management, Coordination, MS Excel"
Share Market Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 12,000-20,000 ","Communication, Teamwork"
Content Creator,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Bangalore,3 Months,"5,000","Content Writing, Editing, SEO"
Social Media Marketing,Reflex Realty LLP,Actively hiring,Mumbai,3 Months,"6,000","Marketing Strategy, Communication, Market Research"
Luxury Sales Consultant,Nivara Diamonds Private Limited,Actively hiring,Hyderabad,3 Months,"20,000","Sales, Negotiation, CRM"
Content Creator,Rupicard,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"5,000","Content Writing, Editing, SEO"
Content Writing,Arcatron Mobility Private Limited,Actively hiring,Pune,6 Months,"17,000","Content Writing, Editing, SEO"
Short Film Making Intern,SmartCookie,Actively hiring,Pune,6 Months,"2,000","Film Production, Direction, Editing"
Mechanical Engineering,Planys Technologies Private Limited,Actively hiring,Chennai,6 Months,"12,500","Communication, Teamwork"
Teaching,K12 Techno Service Private Limited (Orchids International School),Actively hiring,Hyderabad,6 Months," 12,000-18,000 ","Teaching, Curriculum Design, Communication"
Video Editing/Making,Bright Rise,Actively hiring,"Delhi, Gurgaon",3 Months," 10,000-14,000 ","Video Editing, Premiere Pro, After Effects"
Data Entry,Medius Technologies Private Limited,Actively hiring,Mumbai,6 Months,"6,500","Excel,python,SQL"
Mercy Mission Fellowship Program,Mercy Mission,Actively hiring,Bangalore,9 months,"15,000","Communication, Teamwork"
Graphic Design,Fighterhero,Actively hiring,Bangalore                                                            (Hybrid),6 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Operations,Avaesa,Actively hiring,Chennai,3 Months," 5,000-10,000 ","Operations Management, Coordination, MS Excel"
Project Management,Avaesa,Actively hiring,Chennai                                                            (Hybrid),6 Months," 10,000-12,000 ","Project Management, MS Project, Leadership"
Finance & Accounting,Digital Factorys,Actively hiring,Pimpri-Chinchwad,6 Months,"5,000","Accounting, Tally, Excel"
Auditing & Accounting,Shashwat Singhal,Actively hiring,Prayagraj,6 Months," 5,000-10,000 ","Accounting, Tally, Excel"
Content Development (Finance Field),Shashwat Singhal,Actively hiring,"Allahabad, Prayagraj, Prayagraj Sub-District",2 Months,"6,000","Excel, Financial Analysis, Accounting"
CA Articleship,Digital Factorys,Actively hiring,Pimpri-Chinchwad,36 Months,"5,000","Communication, Teamwork"
Technical Support,Avaesa,Actively hiring,Chennai,2 Months," 5,000-7,000 ","Communication, Teamwork"
Video Editing/Making,Mending Mind,Actively hiring,Mumbai                                                            (Hybrid),4 Months," 5,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Human Resources (HR),Break The Code,Actively hiring,Mumbai,3 Months,"7,000","Recruitment, HR Management, Communication"
Community Manager,SmartCookie,Actively hiring,Pune,6 Months,"2,000","Community Building, Communication, Public Relations"
Business Development (Sales),Kumar  Saurav,Actively hiring,"Gurgaon, Noida",4 Months," 4,000-5,000 ","Sales, Negotiation, Business Strategy"
